Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Costa Rica,Presidential,1998,0.69990,1431913.00,2045980.00,0.737,1942350.00,3292000.00,0.030,Yes
Costa Rica,Presidential,1994,0.81110,1525979.00,1881348.00,0.842,1811890.00,3071000.00,0.023,Yes
Costa Rica,Presidential,1990,0.81810,1384326.00,1692050.00,0.851,1626900.00,2805000.00,0.026,Yes
Costa Rica,Presidential,1986,0.84850,1261300.00,1486474.00,0.815,1548120.00,2716000.00,0.025,Yes
Costa Rica,Presidential,1982,0.78630,991679.00,1261127.00,0.790,1254960.00,2324000.00,0.025,Yes
Costa Rica,Presidential,1978,0.81270,860206.00,1058455.00,0.753,1142100.00,2115000.00,0.034,Yes
Costa Rica,Presidential,1974,0.79920,699340.00,875041.00,0.714,979200.00,1920000.00,0.030,Yes
Costa Rica,Presidential,1970,0.83340,562766.00,675285.00,0.757,743900.00,1730000.00,0.040,Yes
Costa Rica,Presidential,1966,0.81400,451490.00,554627.00,0.698,646800.00,1540000.00,0.022,Yes
Costa Rica,Presidential,1962,0.80870,391406.00,483980.00,0.715,547820.00,1274000.00,0.020,Yes
Costa Rica,Presidential,1958,0.64700,229543.00,354779.00,0.496,462680.00,1076000.00,0.035,Yes
Costa Rica,Presidential,1953,0.67250,197489.00,293670.00,0.498,396450.00,881000.00,0.034,Yes
Costa Rica,Presidential,1948,0.60020,99369.00,165564.00,0.292,340200.00,756000.00,,Yes
Cote d'Ivoire,Parliamentary,2016,0.34100,2137364.00,6268113.00,0.162,13233263.00,23740424.00,0.052,No
Cote d'Ivoire,Parliamentary,2011,0.36560,2070793.00,5664377.00,0.182,11401580.00,21504162.00,0.054,No
Cote d'Ivoire,Parliamentary,2000,0.31540,1740240.00,5517613.00,0.238,7301400.00,14786000.00,0.111,No
Cote d'Ivoire,Parliamentary,1990,0.42470,1872292.00,4408809.00,0.400,4686800.00,11717000.00,,No
Cote d'Ivoire,Presidential,2015,0.52860,3330928.00,6301189.00,0.259,12870771.00,23295302.00,0.060,No
Cote d'Ivoire,Presidential,2010,0.81120,4689366.00,5780804.00,0.539,8700030.00,21058798.00,0.021,No
Cote d'Ivoire,Presidential,2000,0.37420,2049018.00,5475143.00,0.281,7301400.00,14786000.00,0.124,No
Cote d'Ivoire,Presidential,1995,0.45330,1722506.00,3800000.00,0.312,5527080.00,14172000.00,,No
Cote d'Ivoire,Presidential,1990,0.70000,3086166.00,4408809.00,0.659,4686800.00,11717000.00,,No
Croatia,Parliamentary,2016,0.52590,1979277.00,3763769.00,0.555,3564675.00,4313707.00,0.019,No
Croatia,Parliamentary,2015,0.60820,2304403.00,3788788.00,0.640,3602781.00,4470534.00,,No
Croatia,Parliamentary,2011,0.54170,2439754.00,4504251.00,0.661,3691302.00,4483804.00,0.017,No
Croatia,Parliamentary,2007,0.59580,2520079.00,4229681.00,0.708,3557272.00,4493312.00,0.015,No
Croatia,Parliamentary,2003,0.61650,2520008.00,4087553.00,0.720,3501832.00,4422248.00,0.016,No
Croatia,Parliamentary,2000,0.76550,2821020.00,3685378.00,0.810,3484951.00,4584831.00,0.017,No
Croatia,Parliamentary,1995,0.68790,2500000.00,3634233.00,0.722,3464230.00,4499000.00,0.033,No
Croatia,Parliamentary,1992,0.75610,2690873.00,3558913.00,0.749,3591750.00,4789000.00,0.047,No
Croatia,Parliamentary,1990,0.84540,2996250.00,3544112.00,,,,0.038,
Croatia,Presidential,2019,0.51200,1904461.00,3719741.00,0.540,3525417.00,4248989.00,0.012,No
Croatia,Presidential,2015,0.59050,2258887.00,3825242.00,0.627,3602781.00,4470534.00,0.027,No
Croatia,Presidential,2010,0.50130,2253570.00,4495528.00,0.652,3454026.00,4486881.00,0.014,No
Croatia,Presidential,2005,0.51040,2241760.00,4392220.00,0.634,3533725.00,4489409.00,0.016,No
Croatia,Presidential,2000,0.60880,2589120.00,4252921.00,0.743,3484951.00,4584831.00,0.011,No
Croatia,Presidential,1997,0.54620,2218448.00,4061479.00,0.643,3450370.00,4481000.00,0.018,No
Croatia,Presidential,1992,0.74900,2677764.00,3575032.00,0.746,3591750.00,4789000.00,0.019,No
Croatia,EU Parliament,2019,0.29850,1103551.00,3696907.00,0.313,3525417.00,4248989.00,0.027,No
Croatia,EU Parliament,2014,0.25240,950980.00,3767343.00,0.264,3603250.00,4470534.00,0.031,No
Croatia,EU Parliament,2013,0.20840,781216.00,3748815.00,0.227,3441441.00,4470534.00,0.051,No
Cuba,Parliamentary,2018,0.85650,7399891.00,8639989.00,0.808,9155857.00,11116396.00,0.056,No
Cuba,Parliamentary,2013,0.90880,7877906.00,8668457.00,0.888,8876808.00,11075244.00,,No
Cuba,Parliamentary,2008,0.96890,8231365.00,8495577.00,0.922,8924054.00,11239363.00,0.047,No
Cuba,Parliamentary,2003,0.97640,8117151.00,8313770.00,0.910,8921135.00,11235687.00,,No
Cuba,Parliamentary,1998,0.98350,7931229.00,8064205.00,0.899,8826512.00,11116514.00,,No
Cuba,Parliamentary,1993,0.98710,7852364.00,7955170.00,0.907,8658146.00,10904466.00,,No
Cuba,Parliamentary,1986,0.97660,6704479.00,6865344.00,0.824,8135254.00,10245913.00,,No
Cyprus,Parliamentary,2016,0.66740,362542.00,543186.00,0.391,926492.00,1205575.00,0.031,Yes
Cyprus,Parliamentary,2011,0.78700,418247.00,531463.00,0.472,885905.00,1120489.00,0.021,Yes
Cyprus,Parliamentary,2006,0.89000,445915.00,501024.00,0.604,738932.00,1031030.00,0.056,Yes
Cyprus,Parliamentary,2001,0.91750,428981.00,467543.00,0.677,633844.00,932632.00,0.042,Yes
Cyprus,Parliamentary,1996,0.90130,369521.00,409996.00,0.759,486850.00,749000.00,,Yes
Cyprus,Parliamentary,1991,0.94310,359640.00,381323.00,0.786,457380.00,639000.00,0.035,Yes
Cyprus,Parliamentary,1985,0.94620,327821.00,346454.00,0.780,420550.00,647000.00,0.026,Yes
Cyprus,Parliamentary,1981,0.95750,295602.00,308729.00,0.729,405760.00,634000.00,0.016,Yes
Cyprus,Parliamentary,1976,0.85290,232764.00,272898.00,0.623,373930.00,613000.00,0.015,Yes
Cyprus,Parliamentary,1970,0.75850,200141.00,263857.00,0.548,365400.00,630000.00,0.022,Yes
Cyprus,Presidential,2018,0.73970,407475.00,550876.00,0.405,1005171.00,1237088.00,0.056,No
Cyprus,Presidential,2013,0.81580,445009.00,545493.00,0.496,897824.00,1138071.00,0.033,Yes
Cyprus,Presidential,2008,0.90840,469143.00,516448.00,0.788,587035.00,788457.00,0.039,Yes
Cyprus,Presidential,2003,0.90550,431690.00,476758.00,0.783,551229.00,767317.00,0.041,Yes
Cyprus,Presidential,1998,0.93370,417406.00,447046.00,0.856,487702.00,750310.00,0.025,Yes
Cyprus,Presidential,1993,0.93270,367474.00,393993.00,0.787,466700.00,718000.00,0.032,Yes
Cyprus,EU Parliament,2019,0.44990,288483.00,641181.00,0.283,1017878.00,1252147.00,0.026,No
Cyprus,EU Parliament,2014,0.43970,266891.00,606916.00,0.315,847441.00,1172458.00,0.019,Yes
Cyprus,EU Parliament,2009,0.59400,312479.00,526060.00,0.390,801501.00,1084748.00,0.020,Yes
Cyprus,EU Parliament,2004,0.72500,350387.00,483311.00,0.472,742904.00,987191.00,0.046,Yes
Czech Republic,Parliamentary,2017,0.60840,5094633.00,8374501.00,0.581,8774665.00,10674723.00,0.006,No
Czech Republic,Parliamentary,2013,0.59480,5010944.00,8424227.00,0.600,8347604.00,10162921.00,0.007,No
Czech Republic,Parliamentary,2010,0.62600,5268098.00,8415892.00,0.622,8466396.00,10201707.00,0.006,No
Czech Republic,Parliamentary,2006,0.64470,5372449.00,8333305.00,0.651,8250612.00,10235455.00,0.004,No
Czech Republic,Parliamentary,2002,0.57950,4789145.00,8264484.00,0.590,8113689.00,10264212.00,0.004,No
Czech Republic,Parliamentary,1998,0.74000,6006459.00,8116836.00,0.767,7827723.00,10291000.00,0.004,No
Czech Republic,Parliamentary,1996,0.76290,6096404.00,7990770.00,0.776,7859160.00,10341000.00,0.006,No
Czech Republic,Parliamentary,1992,0.84680,9750978.00,11515699.00,0.838,11640940.00,15731000.00,0.017,No
Czech Republic,Parliamentary,1990,0.96330,10785270.00,11195596.00,0.931,11589140.00,15661000.00,0.014,No
Czech Republic,Presidential,2018,0.61880,5177238.00,8366433.00,0.590,8776219.00,10686269.00,0.006,No
Czech Republic,Presidential,2013,0.59080,4983481.00,8434941.00,0.590,8446141.00,10177300.00,0.005,No
Czech Republic,EU Parliament,2019,0.28720,2388304.00,8316737.00,0.272,8777811.00,10695547.00,0.007,No
Czech Republic,EU Parliament,2014,0.18200,1528250.00,8395132.00,0.176,8696514.00,10627448.00,0.008,No
Czech Republic,EU Parliament,2009,0.28220,2371009.00,8401374.00,0.297,7989091.00,10211904.00,0.005,No
Czech Republic,EU Parliament,2004,0.28300,2344290.00,8283485.00,0.309,7592896.00,10246178.00,0.005,No
Denmark,Parliamentary,2019,0.84600,3569521.00,4219537.00,0.764,4673427.00,5841522.00,0.011,No
Denmark,Parliamentary,2015,0.85890,3560060.00,4145105.00,0.803,4431291.00,5581503.00,0.012,No
Denmark,Parliamentary,2011,0.87740,3579675.00,4079910.00,0.818,4374759.00,5529888.00,0.008,No
Denmark,Parliamentary,2007,0.86590,3483633.00,4022920.00,0.832,4186873.00,5468120.00,0.007,No
Denmark,Parliamentary,2005,0.84540,3384560.00,4003616.00,0.813,4161254.00,5413392.00,0.008,No
Denmark,Parliamentary,2001,0.87150,3484957.00,3998957.00,0.843,4132213.00,5352815.00,0.010,No
Denmark,Parliamentary,1998,0.85950,3431926.00,3993009.00,0.831,4128398.00,5225820.00,0.008,No
Denmark,Parliamentary,1994,0.84250,3360637.00,3988787.00,0.817,4111950.00,5205000.00,0.010,No
Denmark,Parliamentary,1990,0.82850,3265420.00,3941499.00,0.804,4060600.00,5140000.00,0.008,No
Denmark,Parliamentary,1988,0.85700,3352651.00,3911897.00,0.827,4052700.00,5130000.00,0.007,No
Denmark,Parliamentary,1987,0.86740,3389201.00,3907454.00,0.859,3947790.00,5127000.00,0.008,No
Denmark,Parliamentary,1984,0.88440,3386733.00,3829600.00,0.860,3936240.00,5112000.00,0.007,No
Denmark,Parliamentary,1981,0.87770,3314424.00,3776333.00,0.863,3841500.00,5122000.00,0.006,No
Denmark,Parliamentary,1979,0.85620,3194345.00,3730650.00,0.832,3837750.00,5117000.00,0.007,No
Denmark,Parliamentary,1977,0.88700,3124976.00,3522904.00,0.877,3561600.00,5088000.00,0.006,No
Denmark,Parliamentary,1975,0.88230,3068302.00,3477621.00,0.866,3542000.00,5060000.00,0.006,No
Denmark,Parliamentary,1973,0.88720,3070253.00,3460737.00,0.874,3514000.00,5020000.00,0.006,No
Denmark,Parliamentary,1971,0.87160,2904096.00,3332044.00,0.873,3326200.00,4960000.00,0.007,No
Denmark,Parliamentary,1968,0.89280,2864805.00,3208646.00,0.880,3256200.00,4860000.00,0.004,No
Denmark,Parliamentary,1966,0.88610,2802304.00,3162352.00,0.885,3168000.00,4800000.00,0.003,No
Denmark,Parliamentary,1964,0.85510,2640856.00,3088269.00,0.848,3115200.00,4720000.00,0.004,No
Denmark,Parliamentary,1960,0.85840,2439936.00,2842336.00,0.859,2840220.00,4581000.00,0.003,No
Denmark,Parliamentary,1957,0.83730,2321097.00,2772159.00,0.821,2827440.00,4488000.00,0.005,No
Denmark,Parliamentary,1953,0.80580,2172036.00,2695554.00,0.789,2752470.00,4369000.00,0.003,No
Denmark,Parliamentary,1950,0.81870,2059944.00,2516118.00,0.766,2690100.00,4270000.00,0.003,No
Denmark,Parliamentary,1947,0.85780,2089015.00,2435306.00,0.800,2611980.00,4146000.00,0.002,No
Denmark,Parliamentary,1945,0.86290,2055315.00,2381983.00,0.807,2548350.00,4045000.00,0.003,No
Denmark,EU Parliament,2019,0.66080,2800029.00,4237550.00,0.599,4673427.00,5841522.00,0.015,No
Denmark,EU Parliament,2014,0.56320,2332217.00,4141329.00,0.542,4302187.00,5569077.00,0.024,No
Denmark,EU Parliament,2009,0.59540,2415568.00,4057100.00,0.563,4291272.00,5500510.00,0.030,No
Denmark,EU Parliament,2004,0.47890,1921541.00,4012663.00,0.464,4143987.00,5397640.00,0.014,No
Denmark,EU Parliament,1999,0.50390,2021922.00,4012440.00,0.491,4115878.00,5313577.00,0.013,No
Denmark,EU Parliament,1994,0.52920,2113780.00,3994200.00,0.524,4035809.00,5196642.00,0.009,No
Denmark,EU Parliament,1989,0.46200,1812680.00,3923549.00,0.459,3947406.00,5129778.00,0.013,No
Denmark,EU Parliament,1984,0.52400,2032386.00,3878600.00,0.533,3815589.00,5112130.00,0.015,No
Denmark,EU Parliament,1979,0.47800,1794614.00,3754423.00,0.485,3704348.00,5111537.00,0.022,No
Djibouti,Parliamentary,2018,0.61780,119861.00,194000.00,0.215,558020.00,884017.00,,No
Djibouti,Parliamentary,2013,0.69160,122333.00,176878.00,0.268,456162.00,792198.00,0.018,No
Djibouti,Parliamentary,2008,0.72610,109999.00,151490.00,0.277,396776.00,709196.00,0.059,No
Djibouti,Parliamentary,2003,0.48420,86482.00,178617.00,0.236,367040.00,690777.00,0.018,No
Djibouti,Parliamentary,1997,0.56830,94303.00,165942.00,0.298,316290.00,608000.00,0.015,No
Djibouti,Parliamentary,1992,0.48450,73187.00,151066.00,0.263,278460.00,546000.00,0.019,No
Djibouti,Presidential,2016,0.69260,129507.00,187000.00,0.247,523746.00,846687.00,,No
Djibouti,Presidential,2011,0.75450,114681.00,152000.00,0.260,441504.00,757074.00,,No
Djibouti,Presidential,2005,0.78900,156484.00,198332.00,0.541,360405.00,666400.00,0.057,No
Djibouti,Presidential,1999,0.56280,96368.00,171232.00,0.290,332151.00,630122.00,0.011,No
Djibouti,Presidential,1993,0.50260,75635.00,150487.00,0.261,289640.00,557000.00,,No
Dominica,Parliamentary,2019,0.53660,40189.00,74895.00,0.727,55256.00,74144.00,0.012,No
Dominica,Parliamentary,2014,0.56310,39725.00,70541.00,0.973,40812.00,73449.00,,No
Dominica,Parliamentary,2009,0.54870,36883.00,67223.00,0.914,40374.00,72660.00,0.016,No
Dominica,Parliamentary,2005,0.59090,38935.00,65889.00,0.821,47422.00,69278.00,0.026,No
Dominica,Parliamentary,2000,0.60170,36264.00,60266.00,0.877,41334.00,74429.00,0.013,No
Dominica,Parliamentary,1995,0.65180,37563.00,57632.00,0.824,45582.00,71000.00,0.010,No
Dominica,Parliamentary,1990,0.66640,33693.00,50557.00,0.788,42742.00,71000.00,0.007,No
Dominica,Parliamentary,1985,0.74560,33565.00,45018.00,0.747,44960.00,80000.00,0.009,No
Dominica,Parliamentary,1980,0.80210,30842.00,38452.00,0.809,38106.00,73000.00,0.008,No
Dominica,Parliamentary,1975,0.77260,23107.00,29907.00,0.680,33984.00,72000.00,0.077,No
Dominica,Parliamentary,1970,0.81560,21122.00,25899.00,0.650,32480.00,70000.00,0.064,No
Dominica,Parliamentary,1966,0.80260,19380.00,24147.00,0.605,32060.00,70000.00,0.068,No
Dominica,Parliamentary,1961,0.76940,17571.00,22838.00,0.649,27060.00,60000.00,0.060,No
Dominica,Parliamentary,1957,0.75550,17639.00,23348.00,0.618,28544.00,64000.00,0.057,No
Dominica,Parliamentary,1954,0.70260,16746.00,23835.00,0.689,24310.00,55000.00,0.060,No
Dominica,Parliamentary,1951,0.75920,17680.00,23288.00,0.736,24035.00,55000.00,0.074,No
Dominican Republic,Parliamentary,2016,0.67770,4584780.00,6765245.00,0.643,7135287.00,10606865.00,,Yes
Dominican Republic,Parliamentary,2010,0.56430,3451368.00,6116397.00,0.586,5892399.00,9823821.00,0.041,Yes
Dominican Republic,Parliamentary,2006,0.56460,3101071.00,5492880.00,0.564,5498558.00,9183984.00,0.035,Yes
Dominican Republic,Parliamentary,2002,0.51050,2371247.00,4644791.00,0.470,5042226.00,8581477.00,0.038,Yes
Dominican Republic,Parliamentary,1998,0.52970,2187528.00,4129554.00,0.456,4795282.00,8313630.00,0.043,Yes
Dominican Republic,Parliamentary,1994,0.42400,1399200.00,3300000.00,0.306,4578400.00,7760000.00,,Yes
Dominican Republic,Parliamentary,1990,0.56190,1840553.00,3275570.00,0.458,4015200.00,7170000.00,0.019,Yes
Dominican Republic,Parliamentary,1986,0.69490,2112101.00,3039347.00,0.607,3479450.00,6565000.00,,Yes
Dominican Republic,Parliamentary,1947,1.00000,840340.00,840340.00,0.865,971180.00,1982000.00,,Yes
Dominican Republic,Parliamentary,1970,,1238205.00,,0.663,1867600.00,4060000.00,,Yes
Dominican Republic,Parliamentary,1966,,1345402.00,,0.808,1665200.00,3620000.00,,Yes
Dominican Republic,Parliamentary,1962,,1054954.00,,0.697,1513400.00,3220000.00,,Yes
Dominican Republic,Parliamentary,1957,,1265681.00,,0.975,1297920.00,2704000.00,,Yes
Dominican Republic,Parliamentary,1952,,1098816.00,,1.003,1095640.00,2236000.00,,Yes
Dominican Republic,Presidential,2016,0.69600,4708746.00,6765245.00,0.660,7135287.00,10606865.00,0.021,Yes
Dominican Republic,Presidential,2012,0.70230,4566838.00,6502968.00,0.702,6504324.00,10088598.00,0.007,Yes
Dominican Republic,Presidential,2008,0.71360,4113644.00,5764387.00,0.716,5742656.00,8532541.00,0.007,Yes
Dominican Republic,Presidential,2004,0.72840,3656850.00,5020703.00,0.695,5265698.00,8562541.00,0.012,Yes
Dominican Republic,Presidential,2000,0.76140,3236906.00,4251218.00,0.653,4954832.00,8590243.00,0.013,Yes
Dominican Republic,Presidential,1996,0.76560,2871487.00,3750502.00,0.605,4743010.00,8039000.00,0.007,Yes
Dominican Republic,Presidential,1990,0.59790,1958509.00,3275570.00,0.488,4015200.00,7170000.00,,Yes
Dominican Republic,Presidential,1986,0.69490,2112101.00,3039347.00,0.607,3479450.00,6565000.00,,Yes
Dominican Republic,Presidential,1982,0.73890,1922367.00,2601684.00,0.656,2929440.00,5744000.00,0.048,Yes
Dominican Republic,Presidential,1978,0.72500,1655807.00,2283784.00,0.629,2634660.00,5166000.00,,Yes
Dominican Republic,Presidential,1974,0.75680,1518297.00,2006323.00,0.694,2188800.00,4560000.00,0.267,Yes
Dominican Republic,Presidential,1947,1.00000,840340.00,840340.00,0.865,971180.00,1982000.00,,Yes
Dominican Republic,Presidential,1970,,1238205.00,,0.663,1867600.00,4060000.00,,Yes
Dominican Republic,Presidential,1966,,1345404.00,,0.808,1665200.00,3620000.00,0.003,Yes
Dominican Republic,Presidential,1962,,1054954.00,,0.697,1513400.00,3220000.00,,Yes
Dominican Republic,Presidential,1957,,1265681.00,,0.975,1297920.00,2704000.00,,Yes
Dominican Republic,Presidential,1952,,1098816.00,,1.003,1095640.00,2236000.00,,Yes
Ecuador,Parliamentary,2017,0.81740,10476231.00,12816698.00,0.905,11579443.00,16290913.00,0.222,Yes
Ecuador,Parliamentary,2013,0.80840,9439237.00,11675441.00,0.943,10010925.00,15439429.00,0.221,Yes
Ecuador,Parliamentary,2009,0.75720,7975133.00,10532234.00,0.910,8763905.00,14573101.00,0.268,Yes
Ecuador,Parliamentary,2006,0.63500,5819854.00,9165125.00,0.703,8281281.00,13547510.00,0.417,Yes
Ecuador,Parliamentary,2002,0.63510,5178885.00,8154425.00,0.703,7371529.00,13183978.00,,Yes
Ecuador,Parliamentary,1998,0.47250,3341902.00,7072496.00,0.485,6892210.00,12091596.00,,Yes
Ecuador,Parliamentary,1996,0.67870,4521207.00,6662007.00,0.678,6665580.00,11694000.00,0.221,Yes
Ecuador,Parliamentary,1994,0.65490,4044433.00,6175991.00,0.663,6100400.00,10900000.00,0.157,Yes
Ecuador,Parliamentary,1990,0.69420,3651081.00,5259114.00,0.647,5645200.00,10264000.00,0.169,Yes
Ecuador,Parliamentary,1988,0.77650,3610581.00,4649684.00,0.670,5386700.00,9794000.00,0.225,Yes
Ecuador,Parliamentary,1986,0.74020,3149690.00,4255346.00,0.649,4851000.00,9330000.00,0.304,Yes
Ecuador,Parliamentary,1984,0.71150,2656884.00,3734076.00,0.561,4739800.00,9115000.00,0.294,Yes
Ecuador,Parliamentary,1979,0.80370,1678924.00,2088874.00,0.425,3946500.00,7893000.00,0.171,Yes
Ecuador,Parliamentary,1956,0.71600,599227.00,836955.00,0.307,1950750.00,3825000.00,,Yes
Ecuador,Parliamentary,1954,0.81620,465187.00,569959.00,0.256,1819170.00,3567000.00,0.074,Yes
Ecuador,Parliamentary,1950,0.64110,276821.00,431794.00,0.169,1641640.00,3157000.00,0.074,Yes
Ecuador,Parliamentary,1947,0.56690,199860.00,352550.00,0.133,1508000.00,2900000.00,0.062,Yes
Ecuador,Parliamentary,1962,,699409.00,,0.311,2249590.00,4591000.00,0.121,Yes
Ecuador,Parliamentary,1958,,491357.00,,0.247,1991850.00,4065000.00,0.020,Yes
Ecuador,Parliamentary,1952,,334737.00,,0.192,1742000.00,3350000.00,,Yes
Ecuador,Presidential,2017,0.81690,10470174.00,12816698.00,0.904,11579443.00,16290913.00,0.098,Yes
Ecuador,Presidential,2013,0.81080,9467062.00,11675441.00,0.946,10010925.00,15439429.00,0.091,Yes
Ecuador,Presidential,2009,0.75280,7928748.00,10532234.00,0.905,8763905.00,14573101.00,0.130,Yes
Ecuador,Presidential,2006,0.76010,6966145.00,9165125.00,0.841,8281281.00,13547510.00,0.098,Yes
Ecuador,Presidential,2002,0.62890,5128158.00,8154425.00,0.696,7371529.00,13183978.00,0.137,Yes
Ecuador,Presidential,1998,0.70130,4960075.00,7072496.00,0.720,6892210.00,12091596.00,,Yes
Ecuador,Presidential,1996,0.71710,4777547.00,6662007.00,0.717,6665580.00,11694000.00,0.113,Yes
Ecuador,Presidential,1992,0.73100,4174097.00,5710363.00,0.707,5907550.00,10741000.00,,Yes
Ecuador,Presidential,1988,0.77700,3612635.00,4649684.00,0.671,5386700.00,9794000.00,0.147,Yes
Ecuador,Presidential,1984,0.78130,2964298.00,3794149.00,0.625,4739800.00,9115000.00,0.106,Yes
Ecuador,Presidential,1979,0.80490,1681286.00,2088874.00,0.426,3946500.00,7893000.00,0.123,Yes
Ecuador,Presidential,1978,0.72830,1521412.00,2088874.00,0.397,3835500.00,7671000.00,0.105,Yes
Ecuador,Presidential,1968,0.77490,928981.00,1198874.00,0.340,2736000.00,5700000.00,0.088,Yes
Ecuador,Presidential,1960,0.76010,767105.00,1009280.00,0.362,2116800.00,4320000.00,,Yes
Ecuador,Presidential,1956,0.73410,614423.00,836955.00,0.315,1950750.00,3825000.00,,Yes
Ecuador,Presidential,1952,0.64910,357654.00,550997.00,0.205,1742000.00,3350000.00,0.010,Yes
Ecuador,Presidential,1948,0.61840,281713.00,455524.00,0.182,1550640.00,2982000.00,,Yes
Egypt,Parliamentary,2015,0.28270,15206000.00,53786000.00,0.275,55382461.00,88487396.00,,Yes
Egypt,Parliamentary,2012,0.62040,29279884.00,47192169.00,0.550,53245955.00,83688164.00,,Yes
Egypt,Parliamentary,2010,0.27470,7995022.00,29109107.00,0.162,49477735.00,80471869.00,,Yes
Egypt,Parliamentary,2005,0.28130,8790708.00,31253417.00,0.198,44509556.00,77505756.00,0.034,Yes
Egypt,Parliamentary,1995,0.47990,10072017.00,20987453.00,0.304,33115600.00,59135000.00,0.025,Yes
Egypt,Parliamentary,1990,0.44430,7253168.00,16326229.00,0.250,28980050.00,52691000.00,0.048,Yes
Egypt,Parliamentary,1987,0.50320,7207467.00,14324162.00,0.272,26487000.00,49050000.00,0.055,Yes
Egypt,Parliamentary,1984,0.43140,5323086.00,12339418.00,0.216,24654780.00,45657000.00,0.033,Yes
Egypt,Parliamentary,1976,0.39770,3803973.00,9564482.00,0.190,20068980.00,37866000.00,,Yes
Egypt,Parliamentary,2000,,,24602241.00,,37063756.00,65158549.00,,Yes
Egypt,Parliamentary,1979,,,11000000.00,,,42855980.00,,Yes
Egypt,Presidential,2018,0.41050,24254152.00,59078138.00,0.399,60780501.00,99413317.00,0.073,No
Egypt,Presidential,2014,0.47500,25578233.00,53848911.00,0.471,54257299.00,86895099.00,,Yes
Egypt,Presidential,2012,0.51850,26420763.00,50958794.00,0.496,53245955.00,83688164.00,0.032,Yes
Egypt,Presidential,2005,0.22950,7305036.00,31826284.00,0.164,44509556.00,77505756.00,0.024,Yes
El Salvador,Parliamentary,2018,0.47960,2487050.00,5186042.00,0.584,4258610.00,6187271.00,0.080,No
El Salvador,Parliamentary,2015,0.45910,2255026.00,4911672.00,0.612,3682915.00,6125512.00,,No
El Salvador,Parliamentary,2009,0.53580,2264567.00,4226479.00,0.617,3673486.00,6030596.00,0.022,No
El Salvador,Parliamentary,2006,0.52560,1997814.00,3801040.00,0.527,3789346.00,6822378.00,,No
El Salvador,Parliamentary,2003,0.41030,1451328.00,3537091.00,0.413,3517570.00,6353681.00,0.036,No
El Salvador,Parliamentary,2000,0.38070,1242842.00,3264724.00,0.380,3275328.00,6021403.00,0.026,No
El Salvador,Parliamentary,1997,0.89180,2679055.00,3004174.00,,3258790.00,6266904.00,,No
El Salvador,Parliamentary,1994,0.55110,1500000.00,2722000.00,0.511,2933320.00,5641000.00,,No
El Salvador,Parliamentary,1991,0.52890,1153013.00,2180000.00,0.440,2621990.00,5351000.00,0.088,No
El Salvador,Parliamentary,1988,0.67740,1083812.00,1600000.00,0.435,2494100.00,5090000.00,0.141,No
El Salvador,Parliamentary,1978,0.47180,849208.00,1800000.00,0.415,2046380.00,4354000.00,,No
El Salvador,Parliamentary,1972,0.56680,634651.00,1119699.00,0.359,1767200.00,3760000.00,0.173,No
El Salvador,Parliamentary,1970,0.41650,622570.00,1494931.00,0.375,1659100.00,3530000.00,0.152,No
El Salvador,Parliamentary,1968,0.36640,492037.00,1342775.00,0.320,1536900.00,3270000.00,0.093,No
El Salvador,Parliamentary,1966,0.32380,387155.00,1195823.00,0.271,1428800.00,3040000.00,,No
El Salvador,Parliamentary,1964,0.27590,296434.00,1074243.00,0.223,1327280.00,2824000.00,,No
El Salvador,Parliamentary,1985,,1101606.00,,0.483,2282320.00,4856000.00,0.124,No
El Salvador,Parliamentary,1960,,420102.00,,0.357,1177920.00,2454000.00,,No
El Salvador,Parliamentary,1958,,450000.00,,0.404,1114080.00,2321000.00,,No
El Salvador,Parliamentary,1956,,585000.00,,0.533,1098000.00,2196000.00,,No
El Salvador,Parliamentary,1952,,700979.00,,0.692,1012860.00,1986000.00,,No
El Salvador,Presidential,2019,0.51880,2733178.00,5268411.00,0.633,4314785.00,6202330.00,0.011,No
El Salvador,Presidential,2014,0.60170,2981654.00,4955107.00,0.801,3720870.00,6108590.00,,No
El Salvador,Presidential,2009,0.61910,2659138.00,4294849.00,0.724,3673486.00,6030596.00,0.008,No
El Salvador,Presidential,2004,0.66160,2277473.00,3442515.00,0.631,3607590.00,6470379.00,0.095,No
El Salvador,Presidential,1999,0.38570,1223215.00,3171224.00,0.381,3209847.00,5901022.00,,No
El Salvador,Presidential,1994,0.46160,1246220.00,2700000.00,0.425,2933320.00,5641000.00,0.039,No
El Salvador,Presidential,1989,0.54700,1003153.00,1834000.00,0.394,2544570.00,5193000.00,0.063,No
El Salvador,Presidential,1972,0.72020,806357.00,1119699.00,0.456,1767200.00,3760000.00,0.044,No
El Salvador,Presidential,1967,0.38840,491894.00,1266587.00,0.332,1480500.00,3150000.00,,No
El Salvador,Presidential,1984,,771454.00,,0.305,2532360.00,5388000.00,0.078,No
El Salvador,Presidential,1977,,1206942.00,,0.591,2042400.00,4255000.00,,No
El Salvador,Presidential,1962,,400118.00,,0.317,1260960.00,2627000.00,0.078,No
El Salvador,Presidential,1956,,711931.00,,0.648,1098000.00,2196000.00,,No
El Salvador,Presidential,1950,,647666.00,,0.680,952680.00,1868000.00,0.056,No
