Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Bolivia,Parliamentary,1989,0.73660,1573790.00,2136587.00,0.510,3086880.00,6431000.00,0.100,Yes
Bolivia,Parliamentary,1985,0.81970,1728365.00,2108458.00,0.652,2652750.00,5895000.00,0.130,Yes
Bolivia,Parliamentary,1980,0.74320,1489484.00,2004284.00,0.591,2520000.00,5600000.00,0.121,Yes
Bolivia,Parliamentary,1979,0.90500,1693233.00,1871070.00,0.691,2452050.00,5449000.00,0.132,Yes
Bolivia,Parliamentary,1978,1.02620,1971968.00,1921556.00,0.826,2386800.00,5304000.00,0.027,Yes
Bolivia,Parliamentary,1966,0.86570,1099994.00,1270611.00,0.549,2002500.00,4450000.00,0.082,Yes
Bolivia,Parliamentary,1964,0.91910,1297319.00,1411560.00,0.789,1643850.00,3653000.00,0.122,Yes
Bolivia,Parliamentary,1960,0.75980,987730.00,1300000.00,0.636,1553850.00,3453000.00,0.021,Yes
Bolivia,Parliamentary,1956,0.85040,958016.00,1126528.00,0.637,1503740.00,3269000.00,0.027,Yes
Bolivia,Parliamentary,1962,,1067877.00,,0.669,1597050.00,3549000.00,0.020,Yes
Bolivia,Parliamentary,1958,,460340.00,,0.305,1512000.00,3360000.00,0.026,Yes
Bolivia,Presidential,2019,0.88310,6460515.00,7315364.00,,,,0.050,Yes
Bolivia,Presidential,2014,0.91860,5487676.00,5973901.00,0.905,6060980.00,10631486.00,0.058,Yes
Bolivia,Presidential,2009,0.94550,4859440.00,5139554.00,0.856,5680498.00,9775246.00,0.025,Yes
Bolivia,Presidential,2005,0.84510,3102417.00,3671152.00,0.634,4890318.00,8857870.00,0.034,Yes
Bolivia,Presidential,2002,0.72060,2994065.00,4155055.00,0.668,4480674.00,8274463.00,0.072,Yes
Bolivia,Presidential,1997,0.71360,2321117.00,3252501.00,0.645,3596616.00,7340032.00,,Yes
Bolivia,Presidential,1993,0.72160,1731309.00,2399197.00,0.500,3461850.00,7065000.00,,Yes
Bolivia,Presidential,1989,0.73160,1563182.00,2136587.00,0.506,3086880.00,6431000.00,0.100,Yes
Bolivia,Presidential,1985,0.81970,1728365.00,2108458.00,0.652,2652750.00,5895000.00,0.130,Yes
Bolivia,Presidential,1980,0.74320,1489484.00,2004284.00,0.591,2520000.00,5600000.00,0.121,Yes
Bolivia,Presidential,1979,0.90500,1693233.00,1871070.00,0.691,2452050.00,5449000.00,0.122,Yes
Bolivia,Presidential,1978,1.02620,1971968.00,1921556.00,0.826,2386800.00,5304000.00,0.027,Yes
Bolivia,Presidential,1966,0.86570,1099994.00,1270611.00,0.549,2002500.00,4450000.00,0.082,Yes
Bolivia,Presidential,1964,0.91910,1297319.00,1411560.00,0.789,1643850.00,3653000.00,0.122,Yes
Bolivia,Presidential,1960,0.75980,987730.00,1300000.00,0.636,1553850.00,3453000.00,0.021,Yes
Bolivia,Presidential,1956,0.85040,958016.00,1126528.00,0.637,1503740.00,3269000.00,0.037,Yes
Bosnia and Herzegovina,Parliamentary,2018,0.54030,1812960.00,3355429.00,0.562,3228803.00,3849891.00,0.086,No
Bosnia and Herzegovina,Parliamentary,2014,0.54540,1788181.00,3278908.00,0.593,3014585.00,3871643.00,0.088,No
Bosnia and Herzegovina,Parliamentary,2010,0.56490,1769249.00,3132231.00,0.588,3010376.00,4621598.00,0.072,No
Bosnia and Herzegovina,Parliamentary,2006,0.54940,1513597.00,2755207.00,0.428,3539921.00,4498976.00,0.067,No
Bosnia and Herzegovina,Parliamentary,2002,0.55450,1298827.00,2342141.00,0.409,3178427.00,3964388.00,,No
Bosnia and Herzegovina,Parliamentary,2000,0.63700,1597805.00,2508349.00,0.523,3053221.00,4269483.00,,No
Bosnia and Herzegovina,Parliamentary,1998,0.70740,1879339.00,2656758.00,0.577,3256197.00,4022835.00,,No
