,ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES
6785,840,USA109,109,2020-6-19,2020,1,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter,5,,,0,50,North America,United States,California,San Francisco,,San Francisco,37.779,-122.419,1,Count Love; KRON4; Ventura County Star; AP,Other-Subnational,"On 19 June 2020, dozens of demonstrators toppled different statues of Serra, Francis Scott Key and President Ulysses S. Grant in San Francisco (California). The event took place in the wake of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. On the same day, people rallied in San Francisco (California), honoring Juneteenth, which commemorates the ending of slavery in the United States. [size=dozens] [statue]",0
6786,840,USA191,191,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),Latinx Group (United States),6,,,0,60,North America,United States,Utah,Salt Lake,,Salt Lake City,40.778,-111.88799999999999,1,Count Love; Salt Lake Tribune,Other-Subnational,"On 19 June 2020, people staged a demonstration in Salt Lake City (Salt Lake City, Utah) outside the District Attorney's office, demanding justice for Bernardo Palacios-Carbajal. He was killed in a police shooting. Protesters set up barricades. [size=no reports]",0
6787,840,USA248,248,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,California,Alameda,,Berkeley,37.871,-122.273,1,Daily Californian; Count Love,Other-Subnational,"On 19 June 2020, an estimate of 80 people held a vigil to protest in Berkeley (California) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=an estimate of 80]",0
6788,840,USA249,249,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Florida,Walton,,DeFuniak Springs,30.717,-86.117,1,Northwest Florida Daily News; Count Love,Other-Subnational,"On 19 June 2020, around 24 people marched from Mount Nebo Missionary Baptist Church to the Walton County Courthouse in DeFuniak Springs (Walton, Florida) to celebrate Juneteenth and to support the Black Lives Matter movement and against police brutality and the death of George Floyd. They also called for the removal of the Confederate monument and the Confederate States flag from the Courthouse lawn. [size=around 24]",0
6789,840,USA250,250,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Alabama,Madison,,Huntsville,34.729,-86.585,1,Twitter; WHNT News 19,New media-Subnational,"On 19 June 2020, at least 20 people protested in downtown Huntsville (Madison, Alabama). The reason for the protest is unclear. [size=at least 20]",0
6790,840,USA251,251,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Nevada,Clark,,Las Vegas,36.175,-115.137,1,Las Vegas Review-Journal; Channel 8 (Las Vegas),Subnational,"On 19 June 2020, people marched in protest in Las Vegas (Nevada) honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=no report]",0
6791,840,USA252,252,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Florida,Orange,,Orlando,28.535,-81.387,1,Spectrum News 13; Count Love,Other-Subnational,"On 19 June 2020, more than 100 people protested in Orlando (Orange, Florida) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. On the same day, an unknown number of people took place in a march at the police headquarters in Orlando to celebrate Juneteenth. [size=more than 100]",0
6792,840,USA253,253,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,New Jersey,Bergen,,Ridgewood,40.979,-74.116,1,Bergen Record; Count Love,Other-Subnational,"On 19 June 2020, people marched in Ridgewood (Bergen, New Jersey) to celebrate Juneteenth and in support of Black Lives Matter Movement and against police brutality and the death of George Floyd. [size=no report]",0
6793,840,USA254,254,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Florida,Lake,,Tavares,28.802,-81.734,1,Daily Commercial; Count Love,Other-Subnational,"On 19 June 2020, around 70 to 80 people marched to the Old Lake County Courthouse in Tavares (Lake, Florida) to commemorate Juneteenth and to celebrate the government's decision to relocate the Confederate statue. [size=70-80]",0
6794,840,USA255,255,2020-6-19,2020,1,Protests,Protest with intervention,Protesters (United States),BLM: Black Lives Matter,6,Police Forces of the United States (2017-),,1,16,North America,United States,California,Solano,,Vallejo,38.104,-122.257,1,SFBay; Daily Republic; Count Love,Other-Subnational,"On 19 June 2020, people marched in protest in Vallejo (California) honoring Juneteenth, which commemorates the ending of slavery in the United States. Police forces intervened and arrested three people after around 55 protesters blocked traffic at the Zampa Bridge. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=at least 55]",0
