state,lawsrank,grade,gundeathrank,year
California,1,A-,43,2016
Connecticut,2,A-,46,2016
New Jersey,3,A-,45,2016
Massachusetts,4,A-,50,2016
Maryland,5,A-,27,2016
New York,6,A-,48,2016
Hawaii,7,A-,49,2016
Illinois,8,B+,39,2016
Rhode Island,9,B+,47,2016
Washington,10,B,37,2016
Delaware,11,B,24,2016
Minnesota,12,C+,44,2016
Pennsylvania,13,C,32,2016
Colorado,14,C,22,2016
Oregon,15,C,30,2016
Iowa,16,C,42,2016
Michigan,16,C,29,2016
Nevada,18,C-,14,2016
Wisconsin,19,C-,35,2016
Nebraska,20,D,41,2016
Ohio,21,D,26,2016
Virginia,21,D,34,2016
New Hampshire,23,D,40,2016
Indiana,24,D-,21,2016
North Carolina,23,D-,23,2016
Florida,26,F,25,2016
Oklahoma,27,F,8,2016
Tennessee,27,F,12,2016
Georgia,29,F,16,2016
New Mexico,29,F,7,2016
North Dakota,29,F,20,2016
South Carolina,29,F,10,2016
Utah,29,F,19,2016
Texas,34,F,28,2016
West Virginia,34,F,17,2016
Maine,36,F,36,2016
Alabama,37,F,3,2016
Arkansas,38,F,11,2016
Montana,38,F,6,2016
South Dakota,40,F,33,2016
Vermont,41,F,38,2016
Kentucky,42,F,13,2016
Louisiana,43,F,2,2016
Alaska,44,F,1,2016
Wyoming,45,F,4,2016
Idaho,46,F,15,2016
Arizona,47,F,18,2016
Kansas,48,F,31,2016
Missouri,48,F,9,2016
Mississippi,50,F,5,2016
