state,lawsrank,grade,gundeathrank,year
Alabama,36,F,2,2017
Alaska,44,F,1,2017
Arizona,47,F,16,2017
Arkansas,39,F,9,2017
California,1,A,43,2017
Colorado,15,C,20,2017
Connecticut,3,A-,46,2017
Delaware,11,B,37,2017
Florida,26,F,26,2017
Georgia,32,F,17,2017
Hawaii,7,A-,47,2017
Idaho,46,F,19,2017
Illinois,8,B+,34,2017
Indiana,23,D-,18,2017
Iowa,18,C-,39,2017
Kansas,48,F,23,2017
Kentucky,42,F,13,2017
Louisiana,43,F,3,2017
Maine,35,F,42,2017
Maryland,6,A-,32,2017
Massachusetts,4,A-,50,2017
Michigan,16,C,27,2017
Minnesota,12,C+,44,2017
Mississippi,50,F,4,2017
Missouri,48,F,7,2017
Montana,37,F,6,2017
Nebraska,19,D,40,2017
Nevada,22,D,15,2017
New Hampshire,31,F,38,2017
New Jersey,2,A-,45,2017
New Mexico,29,F,8,2017
New York,5,A-,48,2017
North Carolina,25,D-,21,2017
North Dakota,37,F,30,2017
Ohio,21,D,25,2017
Oklahoma,27,F,5,2017
Oregon,14,C,33,2017
Pennsylvania,13,C,31,2017
Rhode Island,9,B+,49,2017
South Carolina,29,F,10,2017
South Dakota,40,F,22,2017
Tennessee,24,D-,14,2017
Texas,32,F,28,2017
Utah,27,F,24,2017
Vermont,41,F,36,2017
Virginia,20,D,29,2017
Washington,10,B,41,2017
West Virginia,32,F,12,2017
Wisconsin,17,C-,35,2017
Wyoming,45,F,11,2017
