state,lawsrank,grade,gundeathrank,year
California,1,A-,42,2014
Connecticut,2,A-,45,2014
New Jersey,3,A-,46,2014
Maryland,4,A-,33,2014
New York,5,A-,47,2014
Massachusetts,6,A-,50,2014
Hawaii,7,B+,49,2014
Illinois,8,B+,38,2014
Rhode Island,9,B+,48,2014
Delaware,10,B-,30,2014
Washington,11,B-,35,2014
Minnesota,12,C,44,2014
Pennsylvania,13,C,26,2014
Michigan,14,C,22,2014
Iowa,15,C-,43,2014
Colorado,16,C-,20,2014
Wisconsin,17,C-,40,2014
Oregon,18,D+,28,2014
Ohio,19,D,27,2014
Virginia,20,D,32,2014
Nebraska,21,D,36,2014
New Hampshire,22,D-,41,2014
Indiana,23,D-,23,2014
Maine,24,F,37,2014
Oklahoma,24,F,8,2014
West Virginia,24,F,12,2014
Georgia,27,F,19,2014
North Dakota,27,F,31,2014
Nevada,29,F,18,2014
North Carolina,29,F,25,2014
Texas,29,F,29,2014
Arkansas,32,F,7,2014
Florida,32,F,24,2014
New Mexico,34,F,9,2014
South Carolina,34,F,10,2014
Tennessee,34,F,11,2014
Alabama,37,F,5,2014
Utah,38,F,21,2014
Idaho,39,F,16,2014
Montana,39,F,6,2014
Kansas,41,F,17,2014
Vermont,41,F,39,2014
South Dakota,43,F,34,2014
Alaska,44,F,4,2014
Missouri,44,F,14,2014
Wyoming,44,F,1,2014
Kentucky,47,F,13,2014
Arizona,48,F,15,2014
Mississippi,48,F,3,2014
Louisiana,50,F,2,2014
