,Year,Latitude,Longitude
155,1993,56.51757581,-138.472884
156,1993,58.96752335,-140.5496095
157,1993,59.62693559,-146.4295635
158,1993,33.30807058,-79.1224544
159,1993,32.91708097,-79.28213781
160,1993,32.79422441,-79.54593872
161,1993,33.29685557,-78.91659622
162,1993,31.33521536,-80.91568934
163,1993,32.11739829,-80.38459752
164,1993,32.22212239,-80.26020935
165,1993,31.83388356,-80.4401598
166,1993,32.58532694,-79.53133951
167,1994,52.18893348,-177.3742026
168,1994,52.42228692,-172.7221912
169,1994,52.42491981,-180.3092559
170,1994,52.21887722,-177.0471871
171,1994,58.11179488,-163.825598
172,1994,58.89392209,-174.1753235
173,1994,57.47855065,-163.976188
174,1994,58.07923312,-166.6318761
175,1994,58.81506094,-172.917301
176,1994,59.29533154,-171.3484201
177,1994,32.72872573,-79.70129333
178,1994,32.28652642,-79.76953787
179,1994,31.96938609,-80.28843748
180,1994,33.37972452,-78.84735313
181,1994,31.72342636,-80.41426419
182,1994,32.72857609,-79.37422441
183,1994,32.83820818,-79.62507897
184,1994,31.13437463,-80.90259556
185,1994,33.60958491,-78.47714503
186,1995,57.11950186,-165.6454937
187,1995,58.41252822,-166.6005254
188,1995,57.68984911,-167.2782343
189,1995,58.19109569,-164.5459402
190,1995,58.80102274,-173.7112562
191,1995,58.31559497,-169.0187585
192,1995,33.43242554,-79.01951833
193,1995,32.44271849,-79.40327928
194,1995,32.06162779,-80.12785165
195,1995,33.47382511,-78.55337497
196,1995,32.47592045,-79.98070722
197,1995,32.74058536,-79.58225399
198,1995,33.07806664,-79.37421228
199,1995,32.10811957,-80.04434375
200,1995,33.50917389,-78.54958849
201,1995,47.86642327,-125.3126309
202,1995,47.82521256,-125.2757592
203,1995,43.72545354,-124.5903551
204,1996,57.50015099,-166.0095641
205,1996,58.29535367,-168.6011814
206,1996,56.73556823,-164.4119325
207,1996,58.97445054,-168.5274559
208,1996,58.58578019,-173.6036787
209,1996,58.10645341,-168.9750721
