lon,lat,State,State Long,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01
-154.493062,63.588753000000004,AK,Alaska,0.0,0.0,18.180699751894963,30.346731916696857,14.35318401465392,65.61455549556077,280.2288307622908,310.7122596696034,350.08099296693985,1018.3925800873494,1175.5941192954638
-86.902298,32.318231,AL,Alabama,0.0,0.0,20.37451166945567,128.63067577503196,223.09988303521078,404.2066534303723,1015.7275322061068,778.9018770452268,584.1713090572761,766.5221687535756,582.5397165311936
-91.83183299999999,35.20105,AR,Arkansas,0.0,0.0,18.556539788534973,89.30334773232457,132.4804394188622,448.1404358931196,720.1925638643199,620.0866590408125,744.6805690495473,944.1633717762983,785.736913331681
-111.093731,34.048928000000004,AZ,Arizona,0.013738684990775159,0.0,17.695426268118403,87.36429785633923,168.82096116664516,814.4155075681607,1302.3586437005313,382.2789098683188,229.05135616620345,376.9757774618796,466.4283554368167
-119.41793200000001,36.778261,CA,California,0.007592587235600488,0.022777761706801465,20.548071921946786,103.2237543304005,156.0681614901799,284.3018981746484,685.0310598824066,532.738945110732,269.638081360292,281.88745543372744,293.5117064914318
-105.782067,39.550051,CO,Colorado,0.0,0.0,51.50435790076156,212.1298840578905,194.41766387623952,110.04150910894336,244.74120709822435,184.32864434139717,227.6888539429486,639.2722291836265,1123.4062474820864
-73.087749,41.603221000000005,CT,Connecticut,0.0,0.0,87.734872395967,689.2011779135873,406.72742474869483,120.97202833881255,92.44697551697801,86.08002665704052,131.01329570382413,383.05471621218715,666.9589292531008
-77.03341800000001,38.905985,DC,District of Columbia,0.0,0.0,70.13825028444958,542.40246886641,634.5032015631621,216.22418168499001,254.90648941762583,264.3999495571372,189.01904218071866,274.8852637410751,289.47968753763735
-75.52767,38.910832,DE,Delaware,0.0,0.0,32.75947765577696,453.39527852744607,500.3265678336846,195.52992306143994,345.77166541379637,272.96141570236733,316.09301637768493,463.4593186850202,475.37185601439364
-81.515754,27.664827000000002,FL,Florida,0.0,0.0,30.217336211910965,126.64276501756214,98.12020698456267,442.39763248800375,1467.7943025375532,705.8425196285809,379.0995298992627,437.4110736154372,431.27448669289504
-82.907123,32.157435,GA,Georgia,0.0,0.0,43.183736769270666,202.59153280414657,196.97811794820646,322.88437599217815,989.5150640602716,792.2732286356115,447.89587831246814,402.7719343950034,657.2310437287844
-155.66585700000002,19.898682,HI,Hawaii,0.0,0.0,13.066152872576051,26.626700718709035,3.1782534014374177,16.59754554083985,81.01014780997151,412.89043077340324,335.7648148985219,169.93061519685395,107.35433711521945
-93.097702,41.878003,IA,Iowa,0.0,0.0,15.752423876490855,210.70847873422778,393.24008659078885,297.7746927960394,495.55160424332905,641.5388565071457,760.9022937684426,1240.4162189745396,2010.9537981724654
-114.74204099999999,44.068202,ID,Idaho,0.0,0.0,29.37777864823048,83.37693368735887,46.10912305931793,183.42925411218954,817.2058654833484,636.0708759894015,557.3384292121439,1262.4051167696753,1148.0835895728471
-89.398528,40.633125,IL,Illinois,0.01578305122839093,0.0,47.28602148025923,370.301947920508,531.431117911151,189.22300117717887,283.1479390373333,446.7155904427627,465.8998892108719,953.2647280923554,1430.6546785974958
-85.602364,40.551217,IN,Indiana,0.0,0.0,32.06966380624279,232.85041677937096,248.64015861634923,163.69045629680198,305.39707635773584,416.5342808960909,383.57338048569125,881.4181475676891,1230.634356963135
-98.484246,39.011902,KS,Kansas,0.0,0.0,14.691173007784263,130.7788999057431,188.13625994314378,162.15210581488986,458.8932054697846,508.01252456824085,588.2304482112124,872.9577381634798,1289.2534069448059
-84.27001800000001,37.839333,KY,Kentucky,0.0,0.0,13.228362953152569,92.15088033524387,111.82555213866368,132.50745969993775,325.1580856521952,408.378142267798,457.59839630160934,859.0378033486336,778.6827728887051
-92.14502399999999,31.244822999999997,LA,Louisiana,0.0,0.0,112.65287298168083,490.6003578562526,255.37806149293772,391.0476566610609,1251.614934970231,701.558296624888,399.32937445711724,412.8167434392662,452.50445599439337
-71.382437,42.407211,MA,Massachusetts,0.0,0.014508517442792553,96.0318769538439,806.455942057624,504.3160663114691,172.89800236575886,126.65935727557898,153.64519971917315,166.07899916764634,359.34696002308596,467.9432130823882
-76.641271,39.045755,MD,Maryland,0.0,0.0,27.457622633020605,360.7865451032804,493.823688981223,241.34588664964073,354.749176271321,322.5112807823107,275.3536409469241,341.3180982122772,424.7330325124717
-69.44546899999999,45.253783,ME,Maine,0.0,0.0,22.541087268972454,61.00228237807727,91.20585145795455,70.30141078936953,47.834716547687414,45.45413967439659,65.68904309736857,92.02417475814826,212.094520804754
-85.602364,44.314844,MI,Michigan,0.0,0.0,76.25021565843988,338.08434425365255,160.39080163058307,133.48543991367853,198.72117924588287,224.80546181846802,250.21886265118243,594.7016163343483,995.6485809299162
-94.6859,46.729553,MN,Minnesota,0.0,0.0,12.217109201451441,78.8526627269297,355.9097473026609,204.0558674750409,327.539101842106,366.6196659640203,412.6155749169449,874.8443160830352,1568.8434990084459
-91.83183299999999,37.964253,MO,Missouri,0.0,0.0,21.621434907260827,101.58978647081481,90.99903086439467,136.93032325593066,468.795723550647,560.0717434078249,674.8103603007645,968.1905840687663,1032.2076283420352
-89.398528,32.354668,MS,Mississippi,0.0,0.0,36.05330243882278,206.27327462435514,286.94799890731275,408.17848837541396,1074.5765752991533,796.4318990749455,514.1543652552342,726.240520887899,567.7135116554985
